Sun Jun 21 14:48:00 2020,Intervals Running,running,Selena Samuela,20.0
Sun Jun 21 14:50:00 2020,Intervals,cycling,Emma Lovewell,45.0
Sun Jun 21 14:07:00 2020,Theme,cycling,Christine D'Ercole,20.0
Sun Jun 21 14:00:00 2020,Theme,cycling,Olivia Amato,20.0
Sun Jun 21 13:23:00 2020,Theme,cycling,Christine D'Ercole,30.0
Sun Jun 21 11:49:00 2020,Fun Run,running,Matt Wilpers,30.0
Sun Jun 21 09:54:00 2020,Theme,cycling,Ally Love,30.233333333333334
Sun Jun 21 07:50:00 2020,Endurance,running,Becs Gentry,45.0
Sun Jun 21 06:49:00 2020,Theme,cycling,Jenn Sherman,30.0
Sun Jun 21 01:25:00 2020,Theme,cycling,Ben Alldis,20.0
Sun Jun 21 01:00:00 2020,Intervals,cycling,Ben Alldis,20.0
Sat Jun 20 15:27:00 2020,Lower Body (Strength & Toning),strength,Adrian Williams,20.0
Sat Jun 20 15:24:00 2020,Theme,cycling,Hannah Corbin,20.0
Sat Jun 20 14:54:00 2020,Intervals Running,running,Adrian Williams,20.0
Sat Jun 20 14:51:00 2020,Theme,cycling,Hannah Corbin,20.0
Sat Jun 20 14:36:00 2020,Warm Up/Cool Down Running,running,Adrian Williams,10.0
Sat Jun 20 14:14:00 2020,Pre & Post-Run Stretch,stretching,Adrian Williams,10.0
Sat Jun 20 14:06:00 2020,Upper Body (strength & toning),strength,Kendall Toole,10.0
Sat Jun 20 14:00:00 2020,Power Zone,cycling,Christine D'Ercole,30.0
Sat Jun 20 13:21:00 2020,Theme,cycling,Kendall Toole,30.0
Sat Jun 20 12:11:00 2020,Emotions,meditation,Aditi Shah,5.0
Sat Jun 20 11:48:00 2020,Theme (Bootcamp),circuit,Jess Sims,60.0
Sat Jun 20 11:21:00 2020,Yoga Flow,yoga,Aditi Shah,30.0
Sat Jun 20 10:58:00 2020,Pre & Post-Run Stretch,stretching,Jess Sims,5.0
Sat Jun 20 10:49:00 2020,Pre & Post-Run Stretch,stretching,Jess Sims,5.0
Sat Jun 20 09:50:00 2020,Theme,cycling,Jess King,30.0
Sat Jun 20 08:05:00 2020,Pre & Post-Ride Stretch,stretching,Hannah Frankson,4.983333333333333
Sat Jun 20 07:30:00 2020,Intervals,cycling,Hannah Frankson,20.0
Sat Jun 20 07:00:00 2020,Core (Strength & Toning),strength,Chase Tucker,10.0
Sat Jun 20 07:00:00 2020,Power Yoga,yoga,Chelsea Jackson Roberts,30.0
Sat Jun 20 06:47:00 2020,Theme,cycling,Alex Toussaint,30.0
Sat Jun 20 01:51:00 2020,Theme,cycling,Sam Yo,30.0
Sat Jun 20 01:25:00 2020,Theme,cycling,Leanne Hainsby,20.0
Sat Jun 20 01:00:00 2020,Intervals,cycling,Leanne Hainsby,20.0
Fri Jun 19 15:05:00 2020,Mindfulness,meditation,Chelsea Jackson Roberts,10.0
Fri Jun 19 14:53:00 2020,Theme,cycling,Jenn Sherman,30.0
Fri Jun 19 14:16:00 2020,Yoga Flow,yoga,Chelsea Jackson Roberts,30.0
Fri Jun 19 14:06:00 2020,Theme,cycling,Cody Rigsby,20.0
Fri Jun 19 14:00:00 2020,Theme,cycling,Denis Morton,15.0
Fri Jun 19 13:22:00 2020,Intervals,cycling,Cody Rigsby,30.0
Fri Jun 19 13:00:00 2020,Theme,cycling,Emma Lovewell,30.0
Fri Jun 19 11:23:00 2020,Theme,cycling,Tunde Oyeneyin,30.0
