Original Air Date,Type,Instructor,LengthWed Jun 17 07:53:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Sun Jun 14 11:21:00 2020,HIIT (BTR Cardio),Andy Speer,20.0
Sat Jun  6 07:00:00 2020,HIIT (BTR Cardio),Selena Samuela,15.0
Fri Jun  5 08:00:00 2020,HIIT (BTR Cardio),Andy Speer,20.0
Wed Jun  3 07:52:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Wed Jun  3 07:00:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,15.0
Sun May 31 11:21:00 2020,HIIT (BTR Cardio),Andy Speer,15.0
Thu May 21 11:24:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Fri May  8 07:54:00 2020,HIIT (BTR Cardio),Andy Speer,15.0
Tue May  5 07:52:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Mon Apr 27 05:25:00 2020,HIIT (BTR Cardio),Andy Speer,20.0
Mon Apr 20 08:00:00 2020,Family Cardio,Jess Sims,5.0
Mon Apr 20 08:00:00 2020,Family Cardio,Jess Sims,5.0
Mon Apr 20 08:00:00 2020,Family Cardio,Jess Sims,5.0
Fri Apr 10 06:30:00 2020,HIIT (BTR Cardio),Jess Sims,10.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,20.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,15.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,5.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,20.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,5.0
Fri Apr  3 07:30:00 2020,Family Cardio,Jess Sims,15.0
Thu Apr  2 07:52:00 2020,HIIT (BTR Cardio),Selena Samuela,20.0
Wed Apr  1 08:01:00 2020,HIIT (BTR Cardio),Olivia Amato,20.0
Fri Mar 27 06:30:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Thu Mar 26 08:02:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Thu Mar 12 03:47:00 2020,HIIT (BTR Cardio),Jess Sims,20.0
Mon Mar  9 11:29:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,15.0
Thu Mar  5 11:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 11:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 11:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 11:00:00 2020,Dance Cardio,Multiple Instructors,5.0
Thu Mar  5 11:00:00 2020,Dance Cardio,Multiple Instructors,5.0
Thu Mar  5 07:15:00 2020,Dance Cardio,Multiple Instructors,5.0
Thu Mar  5 07:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 07:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 07:00:00 2020,Dance Cardio,Multiple Instructors,20.0
Thu Mar  5 06:45:00 2020,Dance Cardio,Multiple Instructors,5.0
Wed Mar  4 04:32:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Fri Feb 28 03:32:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Tue Feb 25 17:01:00 2020,HIIT (BTR Cardio),Selena Samuela,20.0
Tue Feb 25 07:07:00 2020,HIIT (BTR Cardio),Olivia Amato,10.0
Tue Feb 25 05:21:00 2020,HIIT (BTR Cardio),Olivia Amato,20.0
Wed Feb 19 05:22:00 2020,HIIT (BTR Cardio),Andy Speer,20.0
Fri Feb 14 03:32:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Tue Feb 11 04:32:00 2020,HIIT (BTR Cardio),Chase Tucker,10.0
Fri Feb  7 04:32:00 2020,HIIT (BTR Cardio),Selena Samuela,10.0
Tue Feb  4 04:32:00 2020,HIIT (BTR Cardio),Jess Sims,10.0
Mon Jan 27 04:32:00 2020,HIIT (BTR Cardio),Selena Samuela,10.0
Sun Jan 26 08:31:00 2020,HIIT (BTR Cardio),Selena Samuela,20.0
Fri Jan 17 03:32:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Fri Jan 10 03:32:00 2020,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Thu Jan  9 07:32:00 2020,HIIT (BTR Cardio),Olivia Amato,10.0
Tue Jan  7 04:32:00 2020,HIIT (BTR Cardio),Jess Sims,10.0
Fri Jan  3 03:31:00 2020,HIIT (BTR Cardio),Olivia Amato,10.0
Tue Dec 31 07:02:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Sun Dec 22 10:01:00 2019,HIIT (BTR Cardio),Selena Samuela,10.0
Tue Dec 10 03:50:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Mon Dec  9 05:22:00 2019,HIIT (BTR Cardio),Jess Sims,20.0
Fri Dec  6 04:23:00 2019,HIIT (BTR Cardio),Selena Samuela,20.0
Wed Dec  4 13:34:00 2019,HIIT (BTR Cardio),Jess Sims,15.0
Tue Dec  3 03:48:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Mon Dec  2 06:22:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Thu Nov 21 04:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Wed Nov 20 17:03:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Sun Nov 17 07:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Fri Nov  8 04:25:00 2019,HIIT (BTR Cardio),Selena Samuela,20.0
Thu Nov  7 04:33:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Fri Nov  1 03:22:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Sun Oct 27 07:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Tue Oct 15 15:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Tue Oct 15 04:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Tue Oct  8 14:20:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Thu Oct  3 05:32:00 2019,HIIT (BTR Cardio),Matty Maggiacomo,10.0
Wed Oct  2 17:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Thu Sep 26 04:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Tue Sep 24 15:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Thu Sep 19 04:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Tue Sep 17 17:02:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Mon Sep  9 05:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Thu Aug 29 05:32:00 2019,HIIT (BTR Cardio),Chase Tucker,10.0
Mon Aug 26 02:48:00 2019,HIIT (BTR Cardio),Selena Samuela,20.0
Thu Aug 15 04:32:00 2019,HIIT (BTR Cardio),Jess Sims,10.0
Sat Aug 10 06:52:00 2019,HIIT (BTR Cardio),Chase Tucker,20.0
Fri Jun  7 03:22:00 2019,HIIT (BTR Cardio),Rebecca Kennedy,20.0
Fri May 17 11:56:00 2019,HIIT (BTR Cardio),Jennifer Jacobs,15.0
Thu Mar 28 13:33:00 2019,HIIT (BTR Cardio),Jennifer Jacobs,15.0
Fri Aug 24 05:32:00 2018,HIIT (BTR Cardio),Matty Maggiacomo,10.0
Fri Aug  3 04:32:00 2018,HIIT (BTR Cardio),Rebecca Kennedy,10.0
Fri Jul 13 05:31:00 2018,HIIT (BTR Cardio),Selena Samuela,10.0
Fri Jun 29 05:32:00 2018,HIIT (BTR Cardio),Selena Samuela,10.0
Mon Aug  1 11:00:00 2016,Cardio,Alex Toussaint,5.0
Thu Apr 20 08:00:00 2017,Cardio,Robin Arzon,10.2
Fri Jul  1 11:00:00 2016,Cardio,Cody Rigsby,10.0
Mon Aug  1 11:00:00 2016,Cardio,Jess King,9.9
Thu Jun 15 08:00:00 2017,HIIT (BTR Cardio),Matt Wilpers,5.533333333333333
Thu Apr 20 08:00:00 2017,Cardio,Jess King,10.0
Thu Jan 19 08:00:00 2017,Cardio,Matt Wilpers,10.0
Fri Jul  1 11:00:00 2016,Cardio,Alex Toussaint,5.0
Fri Jul  1 11:00:00 2016,Cardio,Alex Toussaint,9.95
Fri Jul  1 11:00:00 2016,Cardio,Alex Toussaint,4.983333333333333
Thu Feb 16 08:00:00 2017,Cardio,Matt Wilpers,9.916666666666666
