Original Air Date,Title,Instructor,Length,Type
Sat Jun 20 11:48:00 2020,60 min Pop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Wed Jun 17 06:24:00 2020,30 min Bootcamp: Core,Olivia Amato,30.0,Body Focus (Bootcamp)
Mon Jun 15 14:48:00 2020,30 min Bootcamp: Bodyweight,Rebecca Kennedy,30.0,Bodyweight (Bootcamp)
Sat Jun 13 11:51:00 2020,60 min 90s Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Jun 12 07:00:00 2020,30 min Bootcamp: Core,Chase Tucker,30.0,Body Focus (Bootcamp)
Wed Jun 10 07:00:00 2020,30 min Bootcamp: Arms & Shoulders,Chase Tucker,30.0,Body Focus (Bootcamp)
Tue Jun  9 14:49:00 2020,45 min Hip Hop Bootcamp,Adrian Williams,45.0,Theme (Bootcamp)
Sat Jun  6 11:50:00 2020,60 min Hip Hop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Sat Jun  6 07:00:00 2020,45 min Pride Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Mon Jun  1 11:50:00 2020,45 min Bootcamp: Bodyweight,Andy Speer,45.0,Bodyweight (Bootcamp)
Mon Jun  1 07:00:00 2020,60 min Bootcamp: Bodyweight,Jess Sims,60.0,Bodyweight (Bootcamp)
Sun May 31 14:48:00 2020,45 min Bootcamp: Bodyweight,Selena Samuela,45.0,Bodyweight (Bootcamp)
Sat May 30 07:00:00 2020,30 min Bootcamp: Full Body,Jess Sims,30.0,Body Focus (Bootcamp)
Thu May 28 06:00:00 2020,30 min 90s Bootcamp,Adrian Williams,30.0,Theme (Bootcamp)
Wed May 27 09:00:00 2020,45 min Bootcamp: Full Body,Jess Sims,45.0,Body Focus (Bootcamp)
Wed May 27 09:00:00 2020,30 min Bootcamp: Core,Jess Sims,30.0,Body Focus (Bootcamp)
Tue May 26 11:50:00 2020,30 min House Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Wed Apr  8 06:30:00 2020,30 min Bootcamp: Full Body,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Sat Mar 28 07:21:00 2020,60 min Pop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Mar 27 07:55:00 2020,30 min Bootcamp: Full Body,Chase Tucker,30.0,Body Focus (Bootcamp)
