Original Air Date,Type,Instructor,LengthSun Jun 21 14:50:00 2020,Intervals,Emma Lovewell,45.0
Sun Jun 21 14:07:00 2020,Theme,Christine D'Ercole,20.0
Sun Jun 21 14:00:00 2020,Theme,Olivia Amato,20.0
Sun Jun 21 13:23:00 2020,Theme,Christine D'Ercole,30.0
Sun Jun 21 09:54:00 2020,Theme,Ally Love,30.233333333333334
Sun Jun 21 06:49:00 2020,Theme,Jenn Sherman,30.0
Sun Jun 21 01:25:00 2020,Theme,Ben Alldis,20.0
Sun Jun 21 01:00:00 2020,Intervals,Ben Alldis,20.0
Sat Jun 20 15:24:00 2020,Theme,Hannah Corbin,20.0
Sat Jun 20 14:51:00 2020,Theme,Hannah Corbin,20.0
Sat Jun 20 14:00:00 2020,Power Zone,Christine D'Ercole,30.0
Sat Jun 20 13:21:00 2020,Theme,Kendall Toole,30.0
Sat Jun 20 09:50:00 2020,Theme,Jess King,30.0
Sat Jun 20 07:30:00 2020,Intervals,Hannah Frankson,20.0
Sat Jun 20 06:47:00 2020,Theme,Alex Toussaint,30.0
Sat Jun 20 01:51:00 2020,Theme,Sam Yo,30.0
Sat Jun 20 01:25:00 2020,Theme,Leanne Hainsby,20.0
Sat Jun 20 01:00:00 2020,Intervals,Leanne Hainsby,20.0
Fri Jun 19 14:53:00 2020,Theme,Jenn Sherman,30.0
Fri Jun 19 14:06:00 2020,Theme,Cody Rigsby,20.0
Fri Jun 19 14:00:00 2020,Theme,Denis Morton,15.0
Fri Jun 19 13:22:00 2020,Intervals,Cody Rigsby,30.0
Fri Jun 19 13:00:00 2020,Theme,Emma Lovewell,30.0
Fri Jun 19 11:23:00 2020,Theme,Tunde Oyeneyin,30.0
Fri Jun 19 09:23:00 2020,Theme,Alex Toussaint,30.0
Fri Jun 19 07:00:00 2020,Intervals,Sam Yo,30.0
Fri Jun 19 05:54:00 2020,Intervals,Ally Love,30.0
Fri Jun 19 04:50:00 2020,Intervals,Hannah Frankson,30.0
Thu Jun 18 15:34:00 2020,Theme,Cody Rigsby,15.0
Thu Jun 18 14:47:00 2020,Intervals,Cody Rigsby,30.0
Thu Jun 18 14:09:00 2020,Theme,Hannah Corbin,20.0
Thu Jun 18 14:00:00 2020,Intervals,Jess King,20.0
Thu Jun 18 13:19:00 2020,Theme,Hannah Corbin,30.0
Thu Jun 18 13:00:00 2020,Beginner,Alex Toussaint,20.0
Thu Jun 18 11:21:00 2020,Intervals,Kendall Toole,45.0
Thu Jun 18 09:25:00 2020,Low Impact,Jenn Sherman,30.0
Thu Jun 18 07:00:00 2020,Theme,Sam Yo,20.0
Thu Jun 18 05:55:00 2020,Intervals,Leanne Hainsby,30.0
Thu Jun 18 04:00:00 2020,Theme,Hannah Frankson,30.0
Wed Jun 17 14:51:00 2020,Beginner,Christine D'Ercole,30.0
Wed Jun 17 14:00:00 2020,Theme,Cody Rigsby,20.0
Wed Jun 17 13:21:00 2020,Power Zone,Matt Wilpers,60.0
Wed Jun 17 09:25:00 2020,Theme,Robin Arzon,30.0
Wed Jun 17 07:00:00 2020,Theme,Hannah Frankson,20.0
Wed Jun 17 05:55:00 2020,Intervals,Ben Alldis,30.0
Wed Jun 17 04:00:00 2020,Intervals,Sam Yo,45.0
Tue Jun 16 15:35:00 2020,Low Impact,Emma Lovewell,15.0
Tue Jun 16 14:50:00 2020,Theme,Emma Lovewell,30.0
Tue Jun 16 14:05:00 2020,Intervals,Cody Rigsby,20.0
Tue Jun 16 13:19:00 2020,Theme,Cody Rigsby,30.0
Tue Jun 16 09:24:00 2020,Intervals,Alex Toussaint,30.0
Tue Jun 16 07:00:00 2020,Climb,Ben Alldis,30.0
Tue Jun 16 05:55:00 2020,Theme,Leanne Hainsby,30.0
Tue Jun 16 01:25:00 2020,Climb,Sam Yo,10.0
Tue Jun 16 01:00:00 2020,Low Impact,Sam Yo,20.0
Mon Jun 15 15:35:00 2020,Theme,Tunde Oyeneyin,15.0
Mon Jun 15 14:48:00 2020,Low Impact,Tunde Oyeneyin,30.0
Mon Jun 15 14:03:00 2020,Theme,Denis Morton,20.0
Mon Jun 15 14:00:00 2020,Beginner,Hannah Corbin,20.0
Mon Jun 15 13:18:00 2020,Theme,Denis Morton,30.0
Mon Jun 15 09:24:00 2020,Theme,Jess King,30.0
Mon Jun 15 07:00:00 2020,Intervals,Leanne Hainsby,30.0
Mon Jun 15 06:00:00 2020,Theme,Ben Alldis,30.0
Mon Jun 15 01:00:00 2020,Intervals,Hannah Frankson,20.0
Sun Jun 14 15:23:00 2020,Theme,Hannah Corbin,20.0
Sun Jun 14 14:49:00 2020,Theme,Hannah Corbin,20.0
Sun Jun 14 14:03:00 2020,Theme,Christine D'Ercole,20.0
Sun Jun 14 14:00:00 2020,Theme,Olivia Amato,15.0
Sun Jun 14 13:20:00 2020,Power Zone,Christine D'Ercole,30.0
Sun Jun 14 13:00:00 2020,Theme,Emma Lovewell,30.0
Sun Jun 14 09:50:00 2020,Theme,Ally Love,30.0
Sun Jun 14 06:50:00 2020,Theme,Jenn Sherman,30.0
Sun Jun 14 01:25:00 2020,Theme,Ben Alldis,20.0
Sun Jun 14 01:00:00 2020,Intervals,Ben Alldis,20.0
Sat Jun 13 15:22:00 2020,Climb,Kendall Toole,20.0
Sat Jun 13 14:49:00 2020,Theme,Kendall Toole,20.0
Sat Jun 13 14:03:00 2020,Groove,Emma Lovewell,20.0
Sat Jun 13 14:00:00 2020,Power Zone,Matt Wilpers,30.0
Sat Jun 13 13:17:00 2020,Theme,Emma Lovewell,30.0
Sat Jun 13 09:49:00 2020,Theme,Jess King,30.0
Sat Jun 13 08:00:00 2020,Intervals,Hannah Frankson,30.0
Sat Jun 13 06:52:00 2020,Theme,Robin Arzon,30.0
Sat Jun 13 03:00:00 2020,Theme,Erik Jäger,20.0
Sat Jun 13 01:51:00 2020,Intervals,Sam Yo,30.0
Sat Jun 13 01:25:00 2020,Theme,Leanne Hainsby,20.0
Sat Jun 13 01:00:00 2020,Intervals,Leanne Hainsby,20.0
Fri Jun 12 14:52:00 2020,Theme,Cody Rigsby,30.0
Fri Jun 12 14:05:00 2020,Theme,Christine D'Ercole,15.0
Fri Jun 12 14:00:00 2020,Intervals,Robin Arzon,30.0
Fri Jun 12 13:21:00 2020,Climb,Christine D'Ercole,30.0
Fri Jun 12 13:00:00 2020,Intervals,Tunde Oyeneyin,30.0
Fri Jun 12 09:25:00 2020,Theme,Jess King,30.0
Fri Jun 12 07:00:00 2020,Theme,Sam Yo,30.0
Fri Jun 12 05:54:00 2020,Theme,Ally Love,30.0
Fri Jun 12 04:51:00 2020,Intervals,Hannah Frankson,45.0
Thu Jun 11 14:50:00 2020,Intervals,Emma Lovewell,30.0
Thu Jun 11 14:00:00 2020,Low Impact,Jess King,20.0
Thu Jun 11 13:19:00 2020,Theme,Denis Morton,30.0
Thu Jun 11 13:00:00 2020,Theme,Hannah Corbin,15.0
Thu Jun 11 09:25:00 2020,Theme,Jenn Sherman,30.0
Thu Jun 11 07:30:00 2020,Theme,Sam Yo,20.0
Thu Jun 11 03:50:00 2020,Theme,Hannah Frankson,30.0
Wed Jun 10 15:34:00 2020,Theme,Matt Wilpers,15.0
Wed Jun 10 14:49:00 2020,Intervals,Matt Wilpers,30.0
Wed Jun 10 14:03:00 2020,Low Impact,Kendall Toole,10.0
Wed Jun 10 13:19:00 2020,Theme,Kendall Toole,30.0
Wed Jun 10 13:00:00 2020,Beginner,Christine D'Ercole,20.0
Wed Jun 10 09:24:00 2020,Theme,Robin Arzon,30.0
Wed Jun 10 07:00:00 2020,Theme,Hannah Frankson,20.0
Wed Jun 10 05:55:00 2020,Intervals,Ben Alldis,30.0
Wed Jun 10 03:51:00 2020,Theme,Sam Yo,45.0
Tue Jun  9 14:48:00 2020,Theme,Tunde Oyeneyin,30.0
Tue Jun  9 13:52:00 2020,Intervals,Olivia Amato,20.0
Tue Jun  9 13:17:00 2020,Theme,Olivia Amato,20.0
