Original Air Date,Title,Instructor,Length,Type
Sat Jun 20 12:11:00 2020,5 min Kindness Meditation: From Home,Aditi Shah,5.0,Emotions
Fri Jun 19 15:05:00 2020,10 min Breathe In, Speak Up Meditation,Chelsea Jackson Roberts,10.0,Mindfulness
Thu Jun 18 11:41:00 2020,10 min Meditation for Healing,Aditi Shah,10.0,Emotions
Wed Jun 17 13:04:00 2020,10 min Courage Meditation,Ross Rayburn,10.0,Emotions
Wed Jun 17 07:00:00 2020,10 min Relaxing Meditation,Chelsea Jackson Roberts,10.0,Emotions
Wed Jun 17 06:36:00 2020,5 min Sleep Meditation,Anna Greenberg,4.983333333333333,Relax & Sleep
Fri Jun 12 07:00:00 2020,5 min Sleep Meditation,Chelsea Jackson Roberts,5.0,Relax & Sleep
Wed Jun 10 15:03:00 2020,10 min Acceptance Meditation,Kristin McGee,10.0,Emotions
Wed Jun 10 07:00:00 2020,5 min Patience Meditation,Ross Rayburn,5.0,Emotions
Tue Jun  9 07:00:00 2020,10 min Breathing Meditation,Chelsea Jackson Roberts,10.0,Mindfulness
Mon Jun  8 13:00:00 2020,5 min Relaxing Meditation,Kristin McGee,5.0,Emotions
Fri Jun  5 15:04:00 2020,10 min Peace Meditation,Chelsea Jackson Roberts,10.0,Emotions
Thu Jun  4 07:00:00 2020,5 min Meditation for Healing: From Home,Aditi Shah,5.0,Emotions
Wed Jun  3 15:29:00 2020,10 min Breathe In, Speak Up Meditation,Chelsea Jackson Roberts,10.0,Mindfulness
Wed Jun  3 13:04:00 2020,10 min Kindness Meditation,Kristin McGee,10.0,Emotions
Fri May 29 15:21:00 2020,10 min Gratitude Meditation,Kristin McGee,10.0,Emotions
Fri May 29 15:00:00 2020,10 min Peace Meditation: From Home,Ross Rayburn,10.0,Emotions
Wed May 27 07:00:00 2020,10 min Happiness Meditation,Chelsea Jackson Roberts,10.0,Emotions
Wed May 27 07:00:00 2020,5 min Body Scan Meditation,Chelsea Jackson Roberts,5.0,Mindfulness
Tue May 19 12:08:00 2020,10 min Sleep Meditation: From Home,Ross Rayburn,10.0,Relax & Sleep
Wed May 13 11:24:00 2020,20 min Relaxing: Live from Home,Aditi Shah,20.0,Emotions
Thu May  7 11:25:00 2020,20 min Courage: Live from Home,Ross Rayburn,20.0,Emotions
Tue May  5 05:50:00 2020,10 min Peace Meditation,Aditi Shah,10.0,Emotions
Thu Apr 30 05:45:00 2020,15 min Peace Meditation,Anna Greenberg,15.0,Emotions
Wed Apr 29 16:00:00 2020,10 min Sleep Meditation,Aditi Shah,10.0,Relax & Sleep
Wed Apr 29 09:24:00 2020,Zen in Ten: Live from Home,Aditi Shah,10.0,Zen in Ten
Mon Apr 27 09:22:00 2020,Zen in Ten: Live from Home,Aditi Shah,10.0,Zen in Ten
Fri Apr 24 14:30:00 2020,10 min Peace Meditation,Ross Rayburn,10.0,Emotions
Fri Apr 24 09:24:00 2020,Zen in Ten: Live from Home,Aditi Shah,10.0,Zen in Ten
Wed Apr 22 09:27:00 2020,Zen in Ten: Live from Home,Aditi Shah,10.0,Zen in Ten
Tue Apr  7 06:30:00 2020,10 min Energizing Meditation,Anna Greenberg,10.0,Emotions
Fri Apr  3 07:30:00 2020,5 min Family Meditation,Anna Greenberg,5.0,Mindfulness
Fri Apr  3 07:30:00 2020,10 min Family Meditation,Ross Rayburn,10.0,Mindfulness
Fri Apr  3 07:30:00 2020,10 min Family Meditation,Aditi Shah,10.0,Mindfulness
Fri Apr  3 07:30:00 2020,5 min Family Meditation,Kristin McGee,5.0,Mindfulness
Thu Apr  2 11:17:00 2020,10 min Gratitude Meditation,Aditi Shah,10.0,Emotions
Tue Mar 31 06:30:00 2020,10 min Meditation for Healing,Kristin McGee,10.0,Emotions
Tue Mar 31 06:30:00 2020,10 min Breathing Meditation,Anna Greenberg,10.0,Mindfulness
Sun Mar 29 11:17:00 2020,10 min Relaxing Meditation,Ross Rayburn,9.933333333333334,Emotions
Thu Mar 26 11:16:00 2020,10 min Calming Meditation,Aditi Shah,10.0,Emotions
Tue Mar 24 11:17:00 2020,10 min Courage Meditation,Ross Rayburn,10.0,Emotions
Tue Mar 24 06:30:00 2020,10 min Relaxing Meditation,Aditi Shah,11.0,Emotions
Sun Mar 22 08:17:00 2020,10 min Breathing Meditation,Kristin McGee,10.0,Mindfulness
Sat Mar 21 08:30:00 2020,10 min Calming Meditation,Ross Rayburn,10.0,Emotions
Fri Mar 20 08:16:00 2020,10 min Kindness Meditation,Aditi Shah,10.0,Emotions
Sun Mar 15 10:00:00 2020,5 min Basics: Emotional Balance,Anna Greenberg,5.0,Meditation Basics
Sun Mar 15 09:30:00 2020,5 min Mid-Night Meditation,Anna Greenberg,5.0,Relax & Sleep
Sun Mar 15 08:30:00 2020,5 min Empathy Meditation,Anna Greenberg,5.0,Emotions
Thu Mar 12 16:00:00 2020,10 min Breathing Meditation,Aditi Shah,10.0,Mindfulness
Thu Mar 12 14:06:00 2020,10 min Meditation for Healing,Aditi Shah,10.0,Emotions
Tue Mar 10 17:01:00 2020,10 min Sleep Meditation,Ross Rayburn,10.0,Relax & Sleep
Tue Mar 10 08:53:00 2020,5 min Sleep Meditation,Aditi Shah,5.0,Relax & Sleep
Tue Mar 10 05:31:00 2020,20 min Energizing Meditation,Anna Greenberg,20.0,Emotions
Mon Mar  9 17:01:00 2020,10 min Empathy Meditation,Kristin McGee,10.0,Emotions
Mon Mar  9 13:23:00 2020,5 min Peace Meditation,Ross Rayburn,5.0,Emotions
Mon Mar  9 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Fri Mar  6 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Thu Mar  5 16:00:00 2020,10 min Courage Meditation,Aditi Shah,10.0,Emotions
Thu Mar  5 15:31:00 2020,20 min Kindness Meditation,Anna Greenberg,20.0,Emotions
Thu Mar  5 08:49:00 2020,Zen in Ten: Body Scan Meditation,Ross Rayburn,10.0,Zen in Ten
Wed Mar  4 17:01:00 2020,10 min Sleep Meditation,Anna Greenberg,10.0,Relax & Sleep
Tue Mar  3 17:02:00 2020,10 min Breathing Meditation,Ross Rayburn,10.0,Mindfulness
Tue Mar  3 08:49:00 2020,Zen in Ten: Peace Meditation,Aditi Shah,10.0,Zen in Ten
Mon Mar  2 17:01:00 2020,10 min Relaxing Meditation,Kristin McGee,10.0,Relax & Sleep
Mon Mar  2 15:32:00 2020,20 min Calming Meditation,Ross Rayburn,20.0,Emotions
Mon Mar  2 13:22:00 2020,5 min Sleep Deeper Meditation,Ross Rayburn,5.0,Relax & Sleep
Mon Mar  2 08:49:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Mar  2 08:00:00 2020,5 min Happiness Meditation,Anna Greenberg,5.0,Emotions
Sun Mar  1 09:29:00 2020,5 min Breathing Meditation,Kristin McGee,5.0,Mindfulness
Sun Mar  1 09:10:00 2020,10 min Sleep Meditation,Kristin McGee,10.0,Emotions
Fri Feb 28 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Feb 28 07:59:00 2020,10 min Meditation for Healing,Kristin McGee,10.0,Emotions
Fri Feb 28 08:00:00 2020,5 min Mid-Night Meditation,Kristin McGee,4.983333333333333,Relax & Sleep
Thu Feb 27 16:00:00 2020,10 min Kindness Meditation,Aditi Shah,10.0,Emotions
Thu Feb 27 15:31:00 2020,20 min Relaxing Meditation,Anna Greenberg,20.0,Relax & Sleep
Thu Feb 27 13:51:00 2020,10 min Courage Meditation,Anna Greenberg,10.0,Emotions
Thu Feb 27 08:49:00 2020,Zen in Ten: Breathing Meditation,Ross Rayburn,10.0,Zen in Ten
Thu Feb 27 08:04:00 2020,5 min Body Scan Meditation,Ross Rayburn,4.983333333333333,Mindfulness
Thu Feb 27 07:48:00 2020,5 min Seasonal Meditation,Kristin McGee,5.0,Mindfulness
Wed Feb 26 17:01:00 2020,10 min Breathing Meditation,Anna Greenberg,10.0,Mindfulness
Wed Feb 26 15:31:00 2020,20 min Calming Meditation,Aditi Shah,20.0,Emotions
Wed Feb 26 13:24:00 2020,5 min Peak Performance Meditation ,Aditi Shah,5.0,Fitness Focus
Wed Feb 26 08:48:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Feb 25 17:01:00 2020,10 min Relaxing Meditation,Ross Rayburn,10.0,Relax & Sleep
Tue Feb 25 09:00:00 2020,Zen in Ten: Acceptance Meditation,Aditi Shah,10.0,Zen in Ten
Mon Feb 24 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Feb 24 08:08:00 2020,10 min Body Scan Meditation,Anna Greenberg,10.0,Mindfulness
Fri Feb 21 08:50:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Feb 21 08:00:00 2020,5 min Seasonal Meditation,Anna Greenberg,5.0,Mindfulness
Thu Feb 20 16:00:00 2020,10 min Energizing Meditation,Aditi Shah,10.0,Emotions
Thu Feb 20 13:21:00 2020,5 min Level Up Meditation,Anna Greenberg,5.0,Fitness Focus
Thu Feb 20 08:49:00 2020,Zen in Ten: Peace Meditation,Ross Rayburn,10.0,Zen in Ten
Thu Feb 20 08:07:00 2020,5 min Breathing Meditation,Ross Rayburn,4.983333333333333,Mindfulness
Wed Feb 19 17:01:00 2020,10 min Calming Meditation,Anna Greenberg,10.0,Relax & Sleep
Wed Feb 19 13:59:00 2020,5 min Patience Meditation,Aditi Shah,5.0,Emotions
Wed Feb 19 08:48:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
