Original Air Date,Type,Instructor,Length
Sun Jun 21 14:48:00 2020,Intervals Running,Selena Samuela,20.0
Sun Jun 21 11:49:00 2020,Fun Run,Matt Wilpers,30.0
Sun Jun 21 07:50:00 2020,Endurance,Becs Gentry,45.0
Sat Jun 20 14:54:00 2020,Intervals Running,Adrian Williams,20.0
Sat Jun 20 14:36:00 2020,Warm Up/Cool Down Running,Adrian Williams,10.0
Fri Jun 19 06:19:00 2020,Fun Run,Chase Tucker,30.0
Fri Jun 19 04:51:00 2020,Fun Run,Andy Speer,30.0
Wed Jun 17 04:55:00 2020,Fun Run,Matty Maggiacomo,30.0
Tue Jun 16 14:48:00 2020,Fun Run,Adrian Williams,30.0
Mon Jun 15 11:47:00 2020,Intervals Running,Andy Speer,20.0
Mon Jun 15 05:24:00 2020,Fun Run,Olivia Amato,30.0
Sun Jun 14 14:48:00 2020,Fun Run,Selena Samuela,30.0
Sat Jun 13 04:54:00 2020,Fun Run,Matty Maggiacomo,20.0
Thu Jun 11 07:54:00 2020,Speed Running,Olivia Amato,30.0
Wed Jun 10 03:50:00 2020,Fun Run,Becs Gentry,30.0
Tue Jun  9 11:48:00 2020,Fun Run,Robin Arzon,30.0
Tue Jun  9 07:52:00 2020,Intervals Running,Becs Gentry,30.0
Mon Jun  8 14:48:00 2020,Fun Run,Rebecca Kennedy,20.0
Mon Jun  8 12:22:00 2020,Fun Run,Andy Speer,20.0
Mon Jun  8 11:49:00 2020,Intervals Running,Andy Speer,20.0
Mon Jun  8 09:16:00 2020,Fun Run,Jess Sims,20.0
Mon Jun  8 05:25:00 2020,Fun Run,Olivia Amato,30.0
Sun Jun  7 14:50:00 2020,Fun Run,Selena Samuela,30.0
Sun Jun  7 11:49:00 2020,Endurance,Matt Wilpers,45.0
Sat Jun  6 21:00:00 2020,Endurance,Becs Gentry,45.0
Sat Jun  6 14:51:00 2020,Intervals Running,Chase Tucker,20.0
Sat Jun  6 07:50:00 2020,Intervals Running,Becs Gentry,30.0
Fri Jun  5 11:30:00 2020,Intervals Running,Jess Sims,20.0
Fri Jun  5 07:00:00 2020,Fun Run,Matt Wilpers,30.0
Wed Jun  3 13:00:00 2020,Intervals Running,Chase Tucker,20.0
Wed Jun  3 07:00:00 2020,Fun Run,Jess Sims,20.0
Wed Jun  3 07:00:00 2020,Intervals Running,Robin Arzon,30.0
Wed Jun  3 05:21:00 2020,Fun Run,Becs Gentry,30.0
Mon Jun  1 14:50:00 2020,Intervals Running,Rebecca Kennedy,30.0
Mon Jun  1 05:22:00 2020,Intervals Running,Olivia Amato,30.0
Sun May 31 12:34:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Sun May 31 11:49:00 2020,Intervals Running,Matt Wilpers,30.0
Sun May 31 07:53:00 2020,Intervals Running,Becs Gentry,45.0
Sat May 30 15:35:00 2020,Speed Running,Chase Tucker,30.0
Sat May 30 07:57:00 2020,Fun Run,Matty Maggiacomo,45.0
Fri May 29 07:00:00 2020,Fun Run,Andy Speer,30.0
Fri May 29 04:00:00 2020,Fun Run,Rebecca Kennedy,30.0
Thu May 28 07:00:00 2020,Fun Run,Robin Arzon,20.0
Wed May 27 07:00:00 2020,Fun Run,Selena Samuela,20.0
Wed May 27 05:30:00 2020,Fun Run,Matty Maggiacomo,20.0
Tue May 26 14:50:00 2020,Fun Run,Adrian Williams,20.0
Tue May 26 07:51:00 2020,Fun Run,Becs Gentry,30.0
Tue May 26 04:00:00 2020,Intervals Running,Matt Wilpers,20.0
Sun May 24 07:55:00 2020,Fun Run,Becs Gentry,45.0
Sat May 23 07:53:00 2020,Fun Run,Matty Maggiacomo,30.0
Fri May 22 07:00:00 2020,Intervals Running,Adrian Williams,20.0
Wed May 20 05:30:00 2020,Intervals Running,Matty Maggiacomo,20.0
Tue May 19 07:52:00 2020,Endurance,Becs Gentry,30.0
Tue May 19 07:00:00 2020,Intervals Running,Adrian Williams,30.0
Mon May 18 05:30:00 2020,Fun Run,Olivia Amato,30.0
Sun May 17 07:53:00 2020,Intervals Running,Becs Gentry,45.0
Sat May 16 07:53:00 2020,Fun Run,Matty Maggiacomo,30.0
Thu May 14 07:52:00 2020,Intervals Running,Olivia Amato,30.0
Wed May 13 05:21:00 2020,Intervals Running,Matty Maggiacomo,30.0
Tue May 12 07:52:00 2020,Fun Run,Becs Gentry,30.0
Mon May 11 05:30:00 2020,Fun Run,Olivia Amato,30.0
Sun May 10 05:30:00 2020,Fun Run,Becs Gentry,45.0
Fri May  8 05:21:00 2020,Fun Run,Becs Gentry,20.0
Thu May  7 05:28:00 2020,Fun Run,Olivia Amato,30.0
Wed May  6 05:23:00 2020,Fun Run,Matty Maggiacomo,30.0
Tue May  5 05:24:00 2020,Intervals Running,Becs Gentry,30.0
Sun May  3 21:00:00 2020,Fun Run,Olivia Amato,30.0
Sun May  3 05:25:00 2020,Fun Run,Matty Maggiacomo,30.0
Sat May  2 05:26:00 2020,Endurance,Becs Gentry,45.0
Fri May  1 05:27:00 2020,Fun Run,Olivia Amato,30.0
Thu Apr 30 05:27:00 2020,Intervals Running,Olivia Amato,30.0
Wed Apr 29 07:55:00 2020,Fun Run,Becs Gentry,30.0
Mon Apr 27 08:56:00 2020,Intervals Running,Olivia Amato,30.0
Sun Apr 26 07:24:00 2020,Intervals Running,Becs Gentry,45.0
Fri Apr 24 08:58:00 2020,Intervals Running,Becs Gentry,30.0
Thu Apr 23 05:22:00 2020,Fun Run,Olivia Amato,30.0
Wed Apr 22 07:58:00 2020,Fun Run,Becs Gentry,30.0
Mon Apr  6 13:00:00 2020,Fun Run,Andy Speer,30.0
Mon Apr  6 04:00:00 2020,Fun Run,Robin Arzon,20.0
Fri Apr  3 07:19:00 2020,Fun Run,Andy Speer,30.0
Thu Apr  2 07:18:00 2020,Intervals Running,Selena Samuela,20.0
Wed Apr  1 07:18:00 2020,Fun Run,Olivia Amato,30.0
Wed Apr  1 06:30:00 2020,Intervals Running,Matt Wilpers,30.0
Tue Mar 31 07:19:00 2020,Intervals Running,Becs Gentry,30.0
Mon Mar 30 07:19:00 2020,Endurance,Becs Gentry,45.0
Fri Mar 27 07:18:00 2020,Fun Run,Chase Tucker,20.0
Wed Mar 25 06:30:00 2020,Fun Run,Olivia Amato,20.0
Tue Mar 24 07:20:00 2020,Intervals Running,Robin Arzon,20.0
Sun Mar 22 10:18:00 2020,Intervals Running,Jess Sims,20.0
Sat Mar 21 08:48:00 2020,Fun Run,Olivia Amato,30.0
Fri Mar 20 08:49:00 2020,Fun Run,Andy Speer,30.0
Thu Mar 19 10:30:00 2020,Fun Run,Rebecca Kennedy,30.0
Thu Mar 19 08:48:00 2020,Intervals Running,Becs Gentry,30.0
Thu Mar 19 07:30:00 2020,Fun Run,Becs Gentry,45.0
Sun Mar 15 08:12:00 2020,Intervals Running,Matt Wilpers,45.0
Sun Mar 15 07:46:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Sun Mar 15 06:19:00 2020,Fun Run,Rebecca Kennedy,30.0
Sun Mar 15 05:16:00 2020,Fun Run,Andy Speer,45.0
Sat Mar 14 05:20:00 2020,Endurance,Becs Gentry,45.0
Fri Mar 13 08:47:00 2020,Fun Run,Andy Speer,30.0
Fri Mar 13 04:48:00 2020,Fun Run,Matty Maggiacomo,30.0
Fri Mar 13 04:22:00 2020,Intervals Running,Becs Gentry,20.0
Fri Mar 13 03:48:00 2020,Fun Run,Becs Gentry,20.0
Fri Mar 13 03:11:00 2020,Intervals Running,Selena Samuela,30.0
Fri Mar 13 02:49:00 2020,Warm Up/Cool Down Running,Selena Samuela,10.0
Thu Mar 12 05:57:00 2020,Speed Running,Becs Gentry,30.0
Thu Mar 12 04:47:00 2020,Intervals Running,Matty Maggiacomo,20.0
Thu Mar 12 03:10:00 2020,Speed Running,Chase Tucker,30.0
Thu Mar 12 02:49:00 2020,Warm Up/Cool Down Running,Chase Tucker,10.0
Wed Mar 11 16:19:00 2020,Fun Run,Rebecca Kennedy,45.0
Wed Mar 11 15:18:00 2020,Fun Run,Matty Maggiacomo,45.0
Wed Mar 11 04:47:00 2020,Intervals Running,Andy Speer,30.0
Wed Mar 11 02:48:00 2020,Endurance,Matt Wilpers,30.0
Tue Mar 10 16:18:00 2020,Intervals Running,Becs Gentry,60.0
Tue Mar 10 15:18:00 2020,Fun Run,Selena Samuela,45.0
Tue Mar 10 04:48:00 2020,Fun Run,Olivia Amato,30.0
Mon Mar  9 15:18:00 2020,Intervals Running,Becs Gentry,45.0
Mon Mar  9 14:51:00 2020,Fun Run,Robin Arzon,20.0
Mon Mar  9 14:19:00 2020,Intervals Running,Robin Arzon,20.0
Mon Mar  9 04:32:00 2020,Endurance,Selena Samuela,10.0
Mon Mar  9 03:49:00 2020,Endurance,Selena Samuela,30.0
Mon Mar  9 02:50:00 2020,Fun Run,Olivia Amato,45.0
Sun Mar  8 07:47:00 2020,Endurance,Matt Wilpers,60.0
Sun Mar  8 06:30:00 2020,Fun Run,Rebecca Kennedy,45.0
Sun Mar  8 05:18:00 2020,Intervals Running,Andy Speer,45.0
Sat Mar  7 06:18:00 2020,Intervals Running,Chase Tucker,20.0
Fri Mar  6 08:50:00 2020,Fun Run,Andy Speer,30.0
Fri Mar  6 07:28:00 2020,Endurance,Becs Gentry,30.016666666666666
Fri Mar  6 02:49:00 2020,Fun Run,Rebecca Kennedy,20.0
Thu Mar  5 14:19:00 2020,Fun Run,Olivia Amato,45.0
Thu Mar  5 03:49:00 2020,Fun Run,Jess Sims,20.0
Thu Mar  5 02:50:00 2020,Intervals Running,Becs Gentry,30.0
Wed Mar  4 04:47:00 2020,Fun Run,Andy Speer,20.0
Wed Mar  4 03:22:00 2020,Intervals Running,Matt Wilpers,20.0
Wed Mar  4 02:47:00 2020,Fun Run,Matt Wilpers,20.0
Tue Mar  3 16:19:00 2020,Endurance,Becs Gentry,60.0
Tue Mar  3 15:19:00 2020,Fun Run,Selena Samuela,45.0
Tue Mar  3 14:19:00 2020,Intervals Running,Rebecca Kennedy,45.0
Tue Mar  3 04:48:00 2020,Intervals Running,Olivia Amato,30.0
Mon Mar  2 17:01:00 2020,Intervals Running,Matty Maggiacomo,20.0
Mon Mar  2 16:18:00 2020,Fun Run,Matty Maggiacomo,30.0
Mon Mar  2 03:48:00 2020,Intervals Running,Selena Samuela,30.0
Mon Mar  2 02:48:00 2020,Intervals Running,Becs Gentry,45.0
Sun Mar  1 10:32:00 2020,Intervals Running,Selena Samuela,30.0
Sun Mar  1 07:48:00 2020,Fun Run,Matt Wilpers,60.0
Sat Feb 29 09:00:00 2020,Scenic (Running),None,30.0
Sat Feb 29 09:00:00 2020,Scenic (Running),None,15.0
Sat Feb 29 09:00:00 2020,Scenic (Running),None,20.0
Sat Feb 29 09:00:00 2020,Scenic (Running),None,10.0
Sat Feb 29 09:00:00 2020,Scenic (Running),None,10.0
Sat Feb 29 06:18:00 2020,Fun Run,Matty Maggiacomo,45.0
Thu Feb 27 15:18:00 2020,Fun Run,Selena Samuela,45.0
Thu Feb 27 14:17:00 2020,Fun Run,Olivia Amato,45.0
Thu Feb 27 04:47:00 2020,Endurance,Matt Wilpers,45.0
Thu Feb 27 04:21:00 2020,Fun Run,Matty Maggiacomo,20.0
Thu Feb 27 03:47:00 2020,Speed Running,Matty Maggiacomo,20.0
Wed Feb 26 16:30:00 2020,Fun Run,Rebecca Kennedy,20.0
Wed Feb 26 15:20:00 2020,Intervals Running,Matty Maggiacomo,45.0
Wed Feb 26 04:47:00 2020,Speed Running,Andy Speer,30.0
Wed Feb 26 02:48:00 2020,Fun Run,Matt Wilpers,45.0
Tue Feb 25 16:19:00 2020,Intervals Running,Selena Samuela,30.0
Tue Feb 25 04:48:00 2020,Intervals Running,Olivia Amato,20.0
Tue Feb 25 02:49:00 2020,Endurance,Becs Gentry,45.0
Mon Feb 24 14:52:00 2020,Fun Run,Robin Arzon,20.0
Mon Feb 24 14:17:00 2020,Intervals Running,Robin Arzon,20.0
Mon Feb 24 03:49:00 2020,Fun Run,Rebecca Kennedy,20.0
Sun Feb 23 05:52:00 2020,Speed Running,Becs Gentry,20.0
Sun Feb 23 05:17:00 2020,Intervals Running,Becs Gentry,20.0
Sat Feb 22 05:19:00 2020,Intervals Running,Becs Gentry,45.0
Fri Feb 21 08:48:00 2020,Fun Run,Andy Speer,30.0
Fri Feb 21 07:46:00 2020,Fun Run,Selena Samuela,20.0
Fri Feb 21 03:22:00 2020,Intervals Running,Rebecca Kennedy,20.0
Thu Feb 20 14:16:00 2020,Fun Run,Olivia Amato,45.0
Thu Feb 20 04:48:00 2020,Intervals Running,Matty Maggiacomo,20.0
Thu Feb 20 03:47:00 2020,Fun Run,Jess Sims,20.0
Thu Feb 20 03:22:00 2020,Intervals Running,Becs Gentry,20.0
Thu Feb 20 02:48:00 2020,Fun Run,Becs Gentry,20.0
Wed Feb 19 16:20:00 2020,Fun Run,Rebecca Kennedy,20.0
Wed Feb 19 15:18:00 2020,Intervals Running,Matty Maggiacomo,45.0
Wed Feb 19 14:21:00 2020,Speed Running,Chase Tucker,30.0
Wed Feb 19 03:21:00 2020,Speed Running,Matt Wilpers,20.0
Tue Feb 18 16:19:00 2020,Intervals Running,Becs Gentry,60.0
Tue Feb 18 04:47:00 2020,Fun Run,Selena Samuela,30.0
Tue Feb 18 04:32:00 2020,Endurance,Jess Sims,10.0
Mon Feb 17 09:32:00 2020,Endurance,Rebecca Kennedy,10.0
Mon Feb 17 08:10:00 2020,Intervals Running,Becs Gentry,30.0
Mon Feb 17 07:50:00 2020,Warm Up/Cool Down Running,Becs Gentry,10.0
Mon Feb 17 06:51:00 2020,Fun Run,Selena Samuela,20.0
Mon Feb 17 06:18:00 2020,Fun Run,Selena Samuela,20.0
Mon Feb 17 05:17:00 2020,Intervals Running,Andy Speer,45.0
Sun Feb 16 07:47:00 2020,Fun Run,Matt Wilpers,45.0
Sun Feb 16 06:18:00 2020,Intervals Running,Rebecca Kennedy,30.0
Sat Feb 15 05:19:00 2020,Intervals Running,Becs Gentry,45.0
Fri Feb 14 08:48:00 2020,Fun Run,Andy Speer,30.0
Fri Feb 14 06:30:00 2020,Warm Up/Cool Down Running,Andy Speer,10.0
Fri Feb 14 04:48:00 2020,Fun Run,Matty Maggiacomo,30.0
Fri Feb 14 03:48:00 2020,Speed Running,Selena Samuela,30.0
Thu Feb 13 14:17:00 2020,Fun Run,Olivia Amato,45.0
Thu Feb 13 05:32:00 2020,Warm Up/Cool Down Running,Chase Tucker,10.0
Thu Feb 13 04:48:00 2020,Intervals Running,Chase Tucker,30.0
Thu Feb 13 03:48:00 2020,Fun Run,Jess Sims,20.0
Thu Feb 13 03:21:00 2020,Intervals Running,Becs Gentry,20.0
Thu Feb 13 02:48:00 2020,Fun Run,Becs Gentry,20.0
Wed Feb 12 16:18:00 2020,Fun Run,Rebecca Kennedy,30.0
Wed Feb 12 04:47:00 2020,Intervals Running,Andy Speer,30.0
Wed Feb 12 03:31:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Wed Feb 12 02:48:00 2020,Intervals Running,Matt Wilpers,30.0
Tue Feb 11 16:19:00 2020,Endurance,Becs Gentry,60.0
Tue Feb 11 15:20:00 2020,Intervals Running,Selena Samuela,45.0
Tue Feb 11 04:48:00 2020,Fun Run,Olivia Amato,30.0
Mon Feb 10 14:19:00 2020,Intervals Running,Becs Gentry,30.0
Mon Feb 10 04:21:00 2020,Fun Run,Selena Samuela,20.0
Mon Feb 10 03:48:00 2020,Intervals Running,Selena Samuela,20.0
Sun Feb  9 07:47:00 2020,Endurance,Matt Wilpers,60.0
Sat Feb  8 05:19:00 2020,Fun Run,Becs Gentry,45.0
Fri Feb  7 08:48:00 2020,Fun Run,Andy Speer,30.0
Fri Feb  7 07:03:00 2020,Fun Run,Becs Gentry,20.0
