Original Air Date,Type,Instructor,Length
Sat Jun 20 15:27:00 2020,Lower Body (Strength & Toning),Adrian Williams,20.0
Sat Jun 20 14:06:00 2020,Upper Body (strength & toning),Kendall Toole,10.0
Sat Jun 20 07:00:00 2020,Core (Strength & Toning),Chase Tucker,10.0
Thu Jun 18 11:21:00 2020,Full Body (Strength & Toning),Jess Sims,30.0
Wed Jun 17 15:35:00 2020,Upper Body (strength & toning),Christine D'Ercole,10.0
Wed Jun 17 07:10:00 2020,Upper Body (strength & toning),Olivia Amato,10.0
Mon Jun 15 15:35:00 2020,Upper Body (strength & toning),Rebecca Kennedy,10.0
Mon Jun 15 12:23:00 2020,Core (Strength & Toning),Andy Speer,10.0
Mon Jun 15 07:54:00 2020,Upper Body (strength & toning),Robin Arzon,15.0
Mon Jun 15 07:33:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Jun 15 01:15:00 2020,Upper Body (strength & toning),Hannah Frankson,4.983333333333333
Sun Jun 14 15:34:00 2020,Upper Body (strength & toning),Selena Samuela,10.0
Sat Jun 13 14:51:00 2020,Full Body (Strength & Toning),Chase Tucker,30.0
Fri Jun 12 15:36:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Fri Jun 12 07:51:00 2020,Lower Body (Strength & Toning),Andy Speer,20.0
Thu Jun 11 15:38:00 2020,Upper Body (strength & toning),Emma Lovewell,10.0
Thu Jun 11 11:20:00 2020,Full Body (Strength & Toning),Jess Sims,30.0
Wed Jun 10 07:51:00 2020,Upper Body (strength & toning),Jess Sims,20.0
Wed Jun 10 07:00:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,30.0
Wed Jun 10 07:00:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Tue Jun  9 12:34:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Tue Jun  9 01:25:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Mon Jun  8 15:23:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,20.0
Mon Jun  8 07:54:00 2020,Bodyweight (Strength & toning),Robin Arzon,20.0
Sun Jun  7 11:20:00 2020,Upper Body (strength & toning),Andy Speer,30.0
Fri Jun  5 07:00:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Thu Jun  4 14:06:00 2020,Upper Body (strength & toning),Olivia Amato,10.0
Thu Jun  4 11:20:00 2020,Lower Body (Strength & Toning),Jess Sims,20.0
Wed Jun  3 13:00:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,20.0
Tue Jun  2 07:00:00 2020,Bodyweight (Strength & toning),Adrian Williams,15.0
Tue Jun  2 05:30:00 2020,Lower Body (Strength & Toning),Chase Tucker,20.0
Mon Jun  1 15:36:00 2020,Upper Body (strength & toning),Rebecca Kennedy,10.0
Mon Jun  1 07:54:00 2020,Full Body (Strength & Toning),Robin Arzon,20.0
Mon Jun  1 07:00:00 2020,Upper Body (strength & toning),Hannah Corbin,10.0
Mon Jun  1 01:25:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Sun May 31 15:49:00 2020,Core (Strength & Toning),Selena Samuela,10.0
Sun May 31 07:00:00 2020,Upper Body (strength & toning),Jess King,10.0
