Original Air Date,Type,Instructor,Length
Sat Jun 20 14:14:00 2020,Pre & Post-Run Stretch,Adrian Williams,10.0
Sat Jun 20 10:58:00 2020,Pre & Post-Run Stretch,Jess Sims,5.0
Sat Jun 20 10:49:00 2020,Pre & Post-Run Stretch,Jess Sims,5.0
Sat Jun 20 08:05:00 2020,Pre & Post-Ride Stretch,Hannah Frankson,4.983333333333333
Wed Jun 17 07:00:00 2020,Pre & Post-Ride Stretch,Olivia Amato,5.0
Mon Jun 15 07:00:00 2020,Pre & Post-Ride Stretch,Denis Morton,5.0
Mon Jun  8 07:00:00 2020,Pre & Post-Run Stretch,Andy Speer,5.0
Mon Jun  8 07:00:00 2020,Pre & Post-Ride Stretch,Kendall Toole,5.0
Thu Jun  4 11:00:00 2020,Full Body Stretch,Jess Sims,10.0
Thu Jun  4 07:00:00 2020,Pre & Post-Ride Stretch,Matt Wilpers,5.05
Thu Jun  4 00:30:00 2020,Pre & Post-Ride Stretch,Erik Jäger,10.0
Sun May 31 07:00:00 2020,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Tue May 26 10:30:00 2020,Full Body Stretch,Selena Samuela,10.0
Tue May 19 07:00:00 2020,Pre & Post-Run Stretch,Adrian Williams,5.0
Tue May 19 07:00:00 2020,Pre & Post-Run Stretch,Adrian Williams,5.0
Wed Apr 29 21:00:00 2020,Pre & Post-Run Stretch,Matt Wilpers,5.0
Thu Apr 16 01:00:00 2020,Pre & Post-Ride Stretch,Sam Yo,4.983333333333333
Thu Mar 26 06:30:00 2020,Full Body Stretch,Selena Samuela,10.0
Wed Mar 25 08:17:00 2020,Full Body Stretch,Andy Speer,10.0
Sun Mar 15 05:30:00 2020,Full Body Stretch,Jess Sims,10.0
Sun Mar 15 04:30:00 2020,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Sat Mar 14 04:08:00 2020,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Wed Mar 11 08:11:00 2020,Full Body Stretch,Selena Samuela,10.0
Tue Mar 10 06:56:00 2020,Lower Body Stretch,Chase Tucker,10.0
Mon Mar  9 11:52:00 2020,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Mon Mar  9 10:52:00 2020,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Thu Mar  5 12:43:00 2020,Pre & Post-Run Stretch,Chase Tucker,5.0
Thu Mar  5 11:52:00 2020,Pre & Post-Run Stretch,Chase Tucker,5.0
Wed Mar  4 13:56:00 2020,Pre & Post-Run Stretch,Jess Sims,5.0
Tue Mar  3 06:49:00 2020,Pre & Post-Run Stretch,Olivia Amato,5.0
Tue Mar  3 05:45:00 2020,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Tue Mar  3 02:30:00 2020,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Thu Feb 27 00:52:00 2020,Pre & Post-Ride Stretch,Sam Yo,4.983333333333333
Wed Feb 26 09:10:00 2020,Pre & Post-Ride Stretch,Irène Scholz,4.983333333333333
Tue Feb 25 13:23:00 2020,Pre & Post-Ride Stretch,Kendall Toole,5.0
Sat Feb 22 12:27:00 2020,Pre & Post-Ride Stretch,Olivia Amato,5.0
Thu Feb 20 11:59:00 2020,Pre & Post-Run Stretch,Chase Tucker,10.0
Thu Feb 20 11:10:00 2020,Pre & Post-Run Stretch,Chase Tucker,10.0
Thu Feb 20 11:04:00 2020,Pre & Post-Ride Stretch,Christine D'Ercole,5.0
Tue Feb 18 00:23:00 2020,Pre & Post-Ride Stretch,Hannah Frankson,4.983333333333333
Sun Feb 16 08:00:00 2020,Pre & Post-Ride Stretch,Hannah Corbin,10.0
Fri Feb 14 05:31:00 2020,Full Body Stretch,Matty Maggiacomo,10.0
Fri Feb 14 04:00:00 2020,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Fri Feb 14 00:58:00 2020,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Wed Feb 12 07:40:00 2020,Lower Body Stretch,Becs Gentry,5.0
Wed Feb 12 07:33:00 2020,Lower Body Stretch,Becs Gentry,5.0
Fri Feb  7 06:55:00 2020,Pre & Post-Run Stretch,Becs Gentry,5.0
Thu Feb  6 01:12:00 2020,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Wed Feb  5 13:29:00 2020,Pre & Post-Ride Stretch,Denis Morton,5.0
Wed Feb  5 06:36:00 2020,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed Feb  5 06:05:00 2020,Pre & Post-Run Stretch,Robin Arzon,5.0
Wed Feb  5 05:48:00 2020,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed Feb  5 06:00:00 2020,Pre & Post-Run Stretch,Robin Arzon,5.0
