Original Air Date,Type,Instructor,Length
Wed Jun 17 07:00:00 2020,Hiking Walking,Jess Sims,20.0
Sun Jun 14 11:49:00 2020,Walk + Run,Matt Wilpers,30.0
Mon Jun  1 13:30:00 2020,Power Walking,Selena Samuela,30.0
Sun May 31 04:00:00 2020,Walk + Run,Adrian Williams,20.0
Thu May 28 07:50:00 2020,Walk + Run,Olivia Amato,30.0
Thu May 21 07:52:00 2020,Walk + Run,Olivia Amato,30.0
Sat May  9 05:26:00 2020,Walk + Run,Matty Maggiacomo,30.0
Sun Apr 26 06:30:00 2020,Walk + Run,Chase Tucker,20.0
Sat Apr 25 05:23:00 2020,Walk + Run,Olivia Amato,30.0
Thu Apr  9 06:30:00 2020,Walk + Run,Jess Sims,30.0
Thu Apr  2 06:30:00 2020,Fun Walk,Olivia Amato,20.0
Tue Mar 31 06:30:00 2020,Fun Walk,Matty Maggiacomo,45.0
Thu Mar 26 07:19:00 2020,Walk + Run,Rebecca Kennedy,30.0
Sat Mar 14 06:18:00 2020,Walk + Run,Chase Tucker,30.0
Mon Mar  9 11:02:00 2020,Fun Walk,Rebecca Kennedy,20.0
Fri Mar  6 05:48:00 2020,Walk + Run,Andy Speer,30.0
Fri Mar  6 04:52:00 2020,Walk + Run,Matty Maggiacomo,20.0
Thu Mar  5 11:58:00 2020,Power Walking,Chase Tucker,20.0
Tue Mar  3 06:27:00 2020,Power Walking,Olivia Amato,20.0
Thu Feb 27 02:47:00 2020,Walk + Run,Chase Tucker,30.0
Tue Feb 25 06:32:00 2020,Hiking Walking,Olivia Amato,30.0
Mon Feb 24 06:46:00 2020,Fun Walk,Selena Samuela,20.0
Mon Feb 24 02:48:00 2020,Walk + Run,Olivia Amato,45.0
Fri Feb 21 05:50:00 2020,Power Walking,Andy Speer,45.0
Thu Feb 20 11:25:00 2020,Walk + Run,Chase Tucker,30.0
Wed Feb 19 13:30:00 2020,Power Walking,Jess Sims,20.0
Wed Feb 19 02:47:00 2020,Walk + Run,Matt Wilpers,20.0
Sun Feb 16 05:17:00 2020,Walk + Run,Andy Speer,45.0
Wed Feb 12 06:36:00 2020,Hiking Walking,Selena Samuela,20.0
Wed Feb 12 05:57:00 2020,Power Walking,Selena Samuela,30.0
