Original Air Date,Type,Instructor,LengthSat Jun 20 11:21:00 2020,Yoga Flow,Aditi Shah,30.0
Sat Jun 20 07:00:00 2020,Power Yoga,Chelsea Jackson Roberts,30.0
Fri Jun 19 14:16:00 2020,Yoga Flow,Chelsea Jackson Roberts,30.0
Thu Jun 18 14:17:00 2020,Yoga Flow,Denis Morton,45.0
Thu Jun 18 12:55:00 2020,Yoga Flow,Aditi Shah,20.0
Thu Jun 18 12:16:00 2020,Yoga Flow,Aditi Shah,20.0
Thu Jun 18 11:22:00 2020,Yoga Flow,Aditi Shah,10.0
Wed Jun 17 14:51:00 2020,Yoga Flow,Kristin McGee,20.0
Wed Jun 17 14:18:00 2020,Yoga Flow,Kristin McGee,20.0
Wed Jun 17 12:17:00 2020,Yoga Flow,Ross Rayburn,30.0
Wed Jun 17 11:37:00 2020,Yoga Flow,Ross Rayburn,10.0
Wed Jun 17 06:15:00 2020,Yoga Basics,Anna Greenberg,10.0
Tue Jun 16 13:30:00 2020,Yoga Flow,Chelsea Jackson Roberts,30.0
Tue Jun 16 11:21:00 2020,Power Yoga,Aditi Shah,30.0
Tue Jun 16 07:00:00 2020,Yoga Anywhere,Chelsea Jackson Roberts,10.0
Mon Jun 15 14:30:00 2020,Restorative Yoga,Kristin McGee,20.0
Mon Jun 15 11:21:00 2020,Yoga Flow,Ross Rayburn,30.0
Sat Jun 13 05:18:00 2020,Yoga Flow,Ross Rayburn,30.0
Fri Jun 12 15:05:00 2020,Yoga Flow,Anna Greenberg,10.0
Fri Jun 12 14:18:00 2020,Yoga Flow,Anna Greenberg,30.0
Fri Jun 12 12:20:00 2020,Yoga Flow,Chelsea Jackson Roberts,45.0
Fri Jun 12 11:20:00 2020,Yoga Flow,Aditi Shah,30.0
Thu Jun 11 15:04:00 2020,Restorative Yoga,Denis Morton,10.0
Thu Jun 11 14:19:00 2020,Yoga,Denis Morton,30.0
Wed Jun 10 14:19:00 2020,Yoga Flow,Kristin McGee,30.0
Wed Jun 10 12:18:00 2020,Yoga Flow,Aditi Shah,45.0
Tue Jun  9 11:30:00 2020,Yoga Flow,Aditi Shah,30.0
Tue Jun  9 07:00:00 2020,Yoga Flow,Chelsea Jackson Roberts,30.0
Tue Jun  9 06:30:00 2020,Yoga Flow,Denis Morton,20.0
Sun Jun  7 07:00:00 2020,Yoga Flow,Denis Morton,30.0
Sat Jun  6 11:21:00 2020,Yoga Flow,Aditi Shah,45.0
Fri Jun  5 14:20:00 2020,Yoga Flow,Chelsea Jackson Roberts,30.0
Fri Jun  5 13:02:00 2020,Yoga Flow,Anna Greenberg,20.0
Fri Jun  5 12:28:00 2020,Yoga Flow,Anna Greenberg,30.0
Fri Jun  5 06:30:00 2020,Yoga Flow,Anna Greenberg,45.0
Thu Jun  4 14:19:00 2020,Yoga Flow,Anna Greenberg,45.0
Wed Jun  3 12:19:00 2020,Power Yoga,Kristin McGee,30.0
Wed Jun  3 11:24:00 2020,Yoga Flow,Ross Rayburn,30.0
Mon Jun  1 13:30:00 2020,Yoga Flow,Kristin McGee,10.0
Mon Jun  1 11:20:00 2020,Yoga Flow,Ross Rayburn,30.0
Sat May 30 11:22:00 2020,Yoga Flow,Ross Rayburn,45.0
Fri May 29 14:21:00 2020,Yoga Flow,Kristin McGee,45.0
Thu May 28 15:05:00 2020,Yoga Flow,Denis Morton,20.0
Thu May 28 14:23:00 2020,Power Yoga,Denis Morton,30.0
Thu May 28 10:30:00 2020,Yoga Flow,Kristin McGee,30.0
Wed May 27 15:04:00 2020,Yoga Flow,Anna Greenberg,20.0
Wed May 27 14:18:00 2020,Yoga Flow,Anna Greenberg,30.0
Wed May 27 11:24:00 2020,Yoga Flow,Aditi Shah,30.0
Wed May 27 07:00:00 2020,Yoga Flow,Chelsea Jackson Roberts,30.0
Wed May 27 07:00:00 2020,Yoga Flow,Chelsea Jackson Roberts,10.0
Wed May 27 07:00:00 2020,Yoga Flow,Chelsea Jackson Roberts,20.0
Tue May 26 11:19:00 2020,Yoga Flow,Ross Rayburn,30.0
Mon May 25 11:23:00 2020,Power Yoga,Aditi Shah,30.0
Fri May 22 11:22:00 2020,Yoga Flow,Aditi Shah,30.0
Wed May 20 11:21:00 2020,Yoga Flow,Aditi Shah,30.0
Tue May 19 11:22:00 2020,Yoga Flow,Ross Rayburn,30.0
Mon May 18 11:20:00 2020,Yoga Flow,Ross Rayburn,45.0
Sat May 16 11:22:00 2020,Yoga Flow,Ross Rayburn,45.0
Fri May 15 11:25:00 2020,Power Yoga,Ross Rayburn,30.0
Thu May 14 05:35:00 2020,Power Yoga,Aditi Shah,20.0
Tue May 12 11:21:00 2020,Yoga Flow,Ross Rayburn,30.0
